type,text,method
p,"As an artisan leaders Fatima Naciri supports groups like Cooperative
      Timzounine on colors and development of a new rugs.  Fatima is an weaver of Association Afous G Afous and specialist in Anou dye work.",bs4
p,OUR PROCESS,bs4
p,"Anou uses technology to reduce the complexity of global commerce so that artisans can easily connect with an individual
    customer in upstate New York, or a purchasing manager from West Elm. Anou is automating traditional middlemen work and ensuring the resulting 
    wealth stays in artisan hands.",bs4
p,Training & Onboarding,bs4
p,Adding Products,bs4
p,"All artisans who make the product they sell are welcome to join Anou provided they agree to Anou's transparency requirements
    and are motivated. When an artisan expresses an interest to join, an Anou artisan leader visits the artisans workshop and 
  verifies that the artisan makes what they sell. After the initial screening, the artisan undergoes a two day training
which includes setting up their profile, an introductory training into pricing, photography and other basics of selling online.",bs4
p,ADDING PRODUCTS,bs4
p,"For every artisan that joins the community, Anou creates a customized tool that enables to post product to Anou and create comprehensive product pages 
  -- all with clicks on a language free interface demonstrated on the right.",bs4
p,"All orders ship directly from the artisan that made the product. The means your shipment can come from the coast of the atlantic, snow capped peaks of the Atlas, or the deserts of the Anti-Atlas. 
      Despite the distance and geographic challenges, shipments are insured so you can simply just enjoy the journey.",bs4
p,QUALITY GUARANTEE,bs4
p,"Artisans ship your orders to Anou's artisan run store, where artisan leaders inspect every shipment to make sure it meets our standards. Artisan leaders
    use a proprietary app that enables them to record the results of Anou's six point quality control process and inform the customer.",bs4
p,"Kenza is a weaver and the president of Association Tithrite . Kenza has flown all around the world to speak about Anou and the change
        the artisan community is seeking to create.",bs4
p,The Cooperative,bs4
p,Sustainability,bs4
p,Retail Partnerships,bs4
p,Hello@theanou.com,bs4
p,Experiences,bs4
p,Artisan Experiences,bs4
p,Fez Workshops,bs4
p,صانعة تقليدي(ة),bs4
p,Your Preferences,bs4
p,Your Saved Favorites,bs4
p,Select Shipping/Currency,bs4
p,©2023 The Anou Cooperative | Owned and Managed by Morocco's Artisan Community,bs4
p,"Keep up with Anou artisans and join their adventures to transform Moroccan craft, sign up for our newsletter here:",bs4
p,Got a question? Sent it here and an Anou artisan mentor will be in touch via email with an answer shortly. You will receive an automatic email notification once your message is submitted.,bs4
h1,Create an artisan owned & managed Moroccan craft economy.,bs4
h2,Contact us!,bs4
h3,Stay Updated!,bs4
div,Anou's Website is Changing! Is something not working as expected? Email us at hello@theanou.com,bs4
