titre,contenu
Australie,"['Les exportations d’artisanat vers le marché australien ont atteint 30,1 MDH en 2023, ce qui représente 2,8% des exportations globales de l’année. Le taux de croissance annuel moyen des exportations entre 2019 et 2023 vers ce marché est de 11,2%.']"
Royaume Uni,"['Les exportations d’artisanat vers le marché britannique ont atteint 27,3 MDH en 2023, ce qui représente 2,6% des exportations globales de l’année. Le taux de croissance annuel moyen des exportations entre 2019 et 2023 vers ce marché est de 5,9%.']"
France,['La France est le premier importateur européen des produits de l’artisanat marocain ayant enregistré 148 MDH en 2022 avec une évolution de 4% par rapport à l’année précédente.']
Italie,"['Les exportations d’artisanat vers le marché italien ont atteint 13,4 MDH en 2022.']"
Allemagne,"['Le marché Allemand est l’un des principaux marchés relais de l’artisanat marocain. En 2022, les exportations des produits de l’artisanat marocain vers ce marché ont atteint environ 40 millions de dirhams.']"
Espagne,"['L’Espagne est le troisième importateur des produits d’artisanat marocain. Après une période difficile due à la covid-19, la relance de l’activité s’est confirmée avec une évolution de 16% des exportations vers l’Espagne en 2022, par rapport à 2021.']"
États-Unis d'Amérique,"['Le marché des États-Unis est le premier importateur de l’artisanat marocain. Après une période difficile due à la covid-19, la relance de l’activité se confirme avec une évolution de 44% des exportations vers les États-Unis en 2022, par rapport à 2021.']"
Vannerie,"['En 2023, les exportations de produits de vannerie ont atteint 130,34 millions de DH, représentant 12% des exportations de l’artisanat. Entre 2019 et 2023, le taux de croissance annuel moyen de cette filière a été de 15,6%. L’Espagne est le principal marché importateur, avec 31,5% des exportations. La vannerie suscite l’intérêt avec 85,9K mentions, majoritairement publiées sur Facebook, dont 4,7K sont dédiées à la vannerie marocaine.']"
Bijouterie,"['La bijouterie marocaine connaît une croissance soutenue, favorisée par son développement à l’international et la progression de ses exportations. En 2023, celles-ci ont augmenté de 133% par rapport à 2022, avec un taux de croissance annuel moyen (TCAM) de 50% entre 2019 et 2023. La bijouterie suscite un fort intérêt avec 1 million de mentions collectées, principalement sur Facebook, dont 22 000 mentions liées à la bijouterie marocaine. Les consommateurs se montrent très satisfaits de leurs achats de bijouterie marocaine, avec 91% d’avis positifs. Le design et la qualité de la livraison sont les critères les plus souvent cités. La note moyenne attribuée sur les sites marchands atteint 4,7/5.']"
Tapis,"['En 2023, les exportations de tapis ont atteint 236,94 millions de DH, soit 22% des exportations des produits de l’artisanat, avec une croissance de 8,4% par rapport à 2022. Les États-Unis d’Amérique est le premier marché importateur, représentant 62,8% des exportations. Le tapis enregistre 337,9K mentions, principalement sur X (Twitter), dont 68,6K pour le tapis marocain. Les consommateurs expriment une satisfaction élevée concernant les tapis marocains, avec 92% de retours positifs. Le design est le critère le plus apprécié et la note moyenne attribuée aux tapis marocains sur les sites marchands est de 4,7/5.']"
Habits Traditionnels,"['Les exportations des habits traditionnels ont atteint 108,3 MDH en 2023, principalement vers la France (29,6 MDH). Toutefois, les exportations vers la Belgique enregistrent le taux de croissance annuel moyen le plus élevé (172,1%) sur les 5 dernières années.']"
Bijouterie,"['Les exportations de bijouterie vers les marchés extérieurs ont atteint 1.8 MDH en 2022, principalement vers les États-Unis d’Amérique (709 KDH). Toutefois, les exportations vers l’Espagne enregistrent le taux de croissance annuel moyen le plus élevé (118.6%) sur les 5 dernières années.']"
Vannerie,"['La vannerie est la troisième famille de produits à être exportée en 2022 vers le marché extérieur, principalement vers l’Espagne (54 MDH). Les exportations vers les États-Unis (22.6 MDH) enregistrent toutefois le taux de croissance annuel moyen le plus élevé́ (41.5%) sur les 5 dernières années.']"
"Poterie, Zellige et Céramique","['La poterie et céramique est la première famille de produits de l’artisanat marocain à être exportée en 2022 vers les marchés extérieurs, principalement vers les États-Unis (170.6 MDH).']"
Tapis,"['Le tapis est le deuxième produit le plus exporte en 2022 vers le marché extérieur, principalement vers les États-Unis (126.8 MDH). Les exportations Vers l’Angleterre (4.9 MDH) enregistrent toutefois le taux de croissance annuel moyen le plus élevé sur les 5 dernières années environ (41%).']"
Rapport de notoriété de l'artisanat marocain en 2023,"['Le rapport d’analyse de l’empreinte digitale du fait-main marocain fait ressortir un intérêt grandissant par rapport aux différents produits de l’artisanat marocain à l’échelle internationale, en particulier au niveau de la France et des Etats-Unis d’Amérique. En effet, en 2023, le tapis, la bijouterie et le zellige sont les produits de l’artisanat marocain ayant suscité le plus d’intérêt auprès des internautes avec respectivement 17,6%, 10,9% et 10,7% des mentions. En termes de réseaux sociaux, Instagram est le principal canal utilisé par les internautes pour communiquer autour des produits de l’artisanat marocain (27% des mentions des internautes).']"
PLAN DU SITE,"['Qui sommes nous', 'Programmes et Services MDA', 'Artisanat du maroc', 'Documentation et informations', 'Plateforme E-commerce']"
portails,"['Bureau d’ordre digital', 'Réclamations', 'Plateforme « AJAL »', 'Chafafiya']"
